strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,131,4494320224657503591,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,126,649.0998343746691,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,132,7473255948308178846,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,132,565.5944774390405,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,133,7689273433398957687,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,580.1903832829009,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,134,4659808487548660405,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,140,696.9029148246683,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,135,7288162072453088351,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,116,650.260195011658,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,136,349218908106916316,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,123,717.1822738610477,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,137,8589599430816917522,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,627.3513475130343,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,138,6933355935188362025,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,705.5043535068129,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,139,4093230265916850064,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,676.9897435149145,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,140,3515802806389386458,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,780.2287045175658,0.03,0.012,0.84,0.02,0.01,0.75
